STATION,DEPART_ARRIVE,100,200,102,104,202,106,108,204,110,206,112,208,114,210,116,212,118,214,120
SIMONS TOWN,D,-,5:25,-,-,6:45,-,-,7:45,-,8:45,-,9:45,-,10:45,-,11:45,-,12:45,-
GLENCAIRN,D,-,5:31,-,-,6:51,-,-,7:51,-,8:51,-,9:51,-,10:51,-,11:51,-,12:51,-
SUNNY COVE,D,-,5:40,-,-,7:00,-,-,8:00,-,9:00,-,10:00,-,11:00,-,12:00,-,13:00,-
FISH HOEK,A,-,5:45,-,-,7:05,-,-,8:05,-,9:05,-,10:05,-,11:05,-,12:05,-,13:05,-
FISH HOEK,D,4:45,-,5:55,6:35,-,7:15,7:55,-,8:35,-,9:15,-,10:15,-,11:15,-,12:15,-,13:30
KALK BAY,D,4:49,-,5:59,6:39,-,7:19,7:59,-,8.39,-,9.19,-,10:19,-,11:19,-,12:19,-,13:34
ST JAMES ,D,4:51,-,6:01,6:41,-,7:21,8:01,-,8:41,-,9:21,-,10:21,-,11:21,-,12:21,-,13:36
MUIZNBERG,D,4:54,-,6:04,6:44,-,7:24,8:04,-,8:44,-,9:24,-,10:24,-,11:24,-,12:24,-,13:39
FALSE BAY,D,4:56,-,6:06,6:46,-,7:26,8:06,-,8:46,-,9:26,-,10:26,-,11:26,-,12:26,-,13:41
LAKESIDE,D,4:58,-,6:08,6:48,-,7:28,8:08,-,8:48,-,9:28,-,10:28,-,11:28,-,12:28,-,13:43
STEENBERG,D,5:00,-,6:10,6:50,-,7:30,8:10,-,8:50,-,9:30,-,10:30,-,11:30,-,12:30,-,13:45
RETREAT,A,5:02,-,6:12,6.52,-,7:32,8.12,-,8:52,-,9:32,-,10:32,-,11:32,-,12:32,-,13:47
RETREAT,D,5:03,-,6:13,6:53,-,7:33,8:13,-,8:53,-,9:33,-,10:33,-,11:33,-,12:33,-,13:48
HEATHFIELD,D,5:06,-,6:16,6:56,-,7:36,8:16,-,8:56,-,9:36,-,10:36,-,11:36,-,12:36,-,13:51
DIEPRIVER,D,5:09,-,6:19,6:59,-,7:39,8:19,-,8:59,-,9:39,-,10:39,-,11:39,-,12:39,-,13:54
STEURHOF,D,5:12,-,6:22,7.02,-,7:42,8:22,-,9:02,-,9:42,-,10:42,-,11:42,-,12:42,-,13:57
PLUMSTEAD,D,5:14,-,6:24,7:04,-,7:44,8:24,-,9:04,-,9:44,-,10:44,-,11:44,-,12:44,-,13:59
WITTEBOME,D,5:16,-,6:26,7:06,-,7:46,8:26,-,9:06,-,9:46,-,10:46,-,11:46,-,12:46,-,14:01
WYNBERG,D,5:18,-,6:28,7:08,-,7:48,8:28,-,9:08,-,9:48,-,10:48,-,11:48,-,12:48,-,14:03
KENILWORTH,D,5:20,-,6:30,7:10,-,7:50,8:30,-,9:10,-,9:50,-,10:50,-,11:50,-,12:50,-,14:05
HARFIELD ROAD ,D,5:22,-,6:32,7:12,-,7:52,8:32,-,9:12,-,9:52,-,10:52,-,11:52,-,12:52,-,14:07
CLAREMONT,D,5:24,-,6:34,7:14,-,7:54,8:34,-,9:14,-,9:54,-,10:54,-,11:54,-,12:54,-,14:09
NEWLANDS,D,5:26,-,6:36,7:16,-,7:56,8:36,-,9:16,-,9:56,-,10:56,-,11:56,-,12:56,-,14:11
RONDERBOSCH,D,5:28,-,6:38,7:18,-,7:58,8:38,-,9:18,-,9:58,-,10:58,-,11:58,-,12:58,-,14:13
ROSEBANK,D,5:30,-,6:40,7.2,-,8:00,8:40,-,9:20,-,10:00,-,11:00,-,12:00,-,13:00,-,14:15
MOWBRAY,D,5:32,-,6:42,7:22,-,8:02,8:42,-,9:22,-,10:02,-,11:02,-,12:02,-,13:02,-,14:17
OBSERVATORY,D,5:34,-,6:44,7:24,-,8:04,8:44,-,9:24,-,10:04,-,11:04,-,12:04,-,13:04,-,14:19
SALT RIVER,D,5:37,-,6:47,7:27,-,8:07,8:47,-,9:27,-,10:07,-,11:07,-,12:07,-,13:07,-,14:22
WOOD STOCK,D,5:44,-,6:55,7:35,-,8:15,8:55,-,9:35,-,10:15,-,11:15,-,12:15,-,13:15,-,14:30
CAPE TOWN,A,5:48,-,6:58,7:38,-,8:18,8:58,-,9:38,-,10:18,-,11:18,-,12:18,-,13:18,-,14:33